repository,last_7_days,previous_7_days,activity_trend
NixOS/nixpkgs,6451,6323,0.020243555274395066
airbytehq/airbyte,2852,2264,0.2597173144876325
cockroachdb/cockroach,2938,2803,0.04816268283981449
dotnet/runtime,2474,2755,-0.10199637023593466
elastic/kibana,4450,3116,0.42811296534017973
flutter/flutter,3187,2468,0.2913290113452188
godotengine/godot,2697,2436,0.10714285714285714
grafana/grafana,3157,2385,0.32368972746331237
home-assistant/core,3101,3167,-0.02083991158825387
kubernetes/kubernetes,3277,3775,-0.13192052980132452
llvm/llvm-project,1845,1774,0.040022547914317926
microsoft/vscode,3387,3266,0.037048377219840785
pytorch/pytorch,5547,5830,-0.048542024013722124
rust-lang/rust,2981,2744,0.08637026239067055
sourcegraph/sourcegraph,1892,1619,0.1686226065472514
