repository,health_score,risk_level,contributor_score,activity_score,maintenance_score,bot_score,pr_issue_score,active_contributors,top_contributor_share,bot_ratio,activity_trend,maintenance_gap_days
flutter/flutter,95.7,LOW,95.0,100,100,81.34,100,1737,0.1001,0.1866,0.2913,0
godotengine/godot,93.76,LOW,86.98,90.71,100,99.92,100,1065,0.2604,0.0008,0.1071,0
NixOS/nixpkgs,93.59,LOW,95.37,82.02,100,96.49,100,1421,0.0926,0.0351,0.0202,0
grafana/grafana,92.43,LOW,80.33,100,100,88.88,100,669,0.0623,0.1112,0.3237,0
llvm/llvm-project,91.74,LOW,90.27,84.0,100,91.05,100,890,0.0846,0.0895,0.04,0
microsoft/vscode,91.67,LOW,92.99,83.7,100,85.65,100,1868,0.1403,0.1435,0.037,0
home-assistant/core,90.22,LOW,94.26,77.92,100,83.12,100,2601,0.1148,0.1688,-0.0208,0
rust-lang/rust,88.47,LOW,75.18,88.64,100,91.7,100,756,0.2524,0.083,0.0864,0
airbytehq/airbyte,88.19,LOW,64.56,100,100,92.14,100,367,0.0758,0.0786,0.2597,0
elastic/kibana,86.21,LOW,54.64,100,100,98.78,100,404,0.3112,0.0122,0.4281,0
dotnet/runtime,83.86,LOW,82.71,69.8,100,77.29,100,771,0.1168,0.2271,-0.102,0
sourcegraph/sourcegraph,83.5,LOW,52.69,96.86,100,89.86,100,113,0.0591,0.1014,0.1686,0
pytorch/pytorch,82.83,LOW,80.82,75.15,100,65.28,100,823,0.2065,0.3472,-0.0485,0
cockroachdb/cockroach,75.2,LOW,46.33,84.82,100,67.34,100,179,0.2524,0.3266,0.0482,0
kubernetes/kubernetes,69.16,MEDIUM,54.74,66.81,100,40.24,100,648,0.5533,0.5976,-0.1319,0
