repository,total_events,active_contributors,bot_events,bot_ratio,push_events,pr_events,issue_events,issue_comment_events,first_event,last_event,maintenance_gap_days,top_contributor,top_contributor_events,top_contributor_share
NixOS/nixpkgs,25343,1421,890,0.035118178589748646,4944,9917,810,9672,2023-01-01 00:01:35,2023-01-31 23:53:45,0,wegank,2348,0.09264885767273014
pytorch/pytorch,21975,823,7629,0.34716723549488054,8297,2584,1214,9880,2023-01-01 00:27:27,2023-01-31 23:58:22,0,pytorchmergebot,4538,0.20650739476678043
kubernetes/kubernetes,14974,648,8949,0.597635902230533,347,1010,378,13239,2023-01-01 00:11:56,2023-01-31 23:59:33,0,k8s-ci-robot,8285,0.5532923734473086
home-assistant/core,14938,2601,2522,0.16883116883116883,1325,2265,1862,9486,2023-01-01 00:11:28,2023-01-31 23:29:37,0,home-assistant[bot],1715,0.1148078725398313
elastic/kibana,14513,404,177,0.012195962240749673,1399,2122,1420,9572,2023-01-01 03:40:27,2023-01-31 23:54:20,0,kibana-ci,4517,0.31123820023427273
microsoft/vscode,12368,1868,1775,0.14351552393272962,1147,1376,3388,6457,2023-01-01 01:06:48,2023-01-31 23:53:06,0,VSCodeTriageBot,1735,0.14028137128072446
rust-lang/rust,12248,756,1017,0.08303396472893533,209,1558,701,9780,2023-01-01 00:01:23,2023-01-31 23:56:58,0,bors,3092,0.2524493794905291
cockroachdb/cockroach,12082,179,3946,0.3266015560337692,2029,1411,2152,6490,2023-01-01 02:24:41,2023-01-31 23:58:25,0,craig[bot],3049,0.2523588809799702
dotnet/runtime,10989,771,2496,0.22713622713622714,819,1515,1143,7512,2023-01-01 00:31:07,2023-01-31 23:55:46,0,msftbot[bot],1283,0.11675311675311675
flutter/flutter,10613,1737,1980,0.18656364835579006,809,1215,2208,6381,2023-01-01 00:09:24,2023-01-31 23:56:12,0,auto-submit[bot],1062,0.1000659568453783
godotengine/godot,9987,1065,8,0.0008010413537598879,229,1603,1805,6350,2023-01-01 00:03:49,2023-01-31 23:58:10,0,akien-mga,2601,0.26043857014118355
grafana/grafana,9871,669,1098,0.11123493060480194,3898,2204,892,2877,2023-01-01 00:51:44,2023-01-31 23:58:20,0,grafanabot,615,0.06230371796170601
airbytehq/airbyte,9867,367,776,0.07864599168946995,4075,1390,1006,3396,2023-01-01 09:47:36,2023-01-31 23:55:29,0,github-actions[bot],748,0.0758082497212932
sourcegraph/sourcegraph,7339,113,744,0.10137620929281918,3443,1405,679,1812,2023-01-01 00:42:14,2023-01-31 23:55:26,0,efritz,434,0.05913612208747786
llvm/llvm-project,7049,890,631,0.08951624343878564,2934,4,1253,2858,2023-01-01 00:06:08,2023-01-31 23:54:30,0,llvmbot,596,0.08455100014186409
